index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,,,3,3,,
3,2,,9,,3,,3,
4,,5,10,,,3,3,
5,4,6,,,3,3,,
6,5,,12,,3,,3,
7,,8,13,,,3,3,
8,7,9,14,,3,3,3,
9,8,10,,3,3,3,,3
10,9,11,,4,3,3,,3
11,10,,17,,3,,3,
12,,,,6,,,,3
13,,,19,7,,,3,3
14,,,20,8,,,3,3
15,,,21,,,,3,
16,,17,,,,3,,
17,16,18,23,11,3,3,3,3
18,17,,,,3,,,
19,,,,13,,,,3
20,,21,26,14,,3,3,3
21,20,22,,15,3,3,,3
22,21,23,,,3,3,,
23,22,24,,17,3,3,,3
24,23,,30,,3,,3,
25,,26,,,,3,,
26,25,,32,20,3,,3,3
27,,,33,,,,4,
28,,29,34,,,3,3,
29,28,30,,,3,3,,
30,29,,36,24,3,,3,3
31,,32,37,,,3,3,
32,31,33,38,26,3,3,3,3
33,32,34,,27,3,3,,4
34,33,35,40,28,3,4,3,3
35,34,,,,4,,,
36,,,42,30,,,3,3
37,,38,43,31,,3,3,3
38,37,39,,32,3,3,,3
39,38,40,45,,3,3,3,
40,39,41,,34,3,3,,3
41,40,,47,,3,,3,
42,,,48,36,,,3,3
43,,,,37,,,,3
44,,45,,,,3,,
45,44,,,39,3,,,3
46,,47,,,,3,,
47,46,,,41,3,,,3
48,,,,42,,,,3
